"Signature page name",Experiment,Study,Source,"Curated date",Curator,"Revision editor",Description,"Abundance in Group 1","MetaPhlAn taxon names","NCBI Taxonomy IDs",State,Reviewer
"Signature 1","Experiment 1","Study 21","Table 1","4 October 2018","Marianthi Thomatos",WikiWorks743,"Relative abundance comparision between Cameron County Hispanic Cohort (CCHC) and Human microbiome project (HMP) subject stool samples",increased,"k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister",2|1239;2|201174;2|1239|186801|186802|186803;2|1239|909932|1843489|31977;2|201174|84998|84999|84107;2|1239|186801|186802|541000;2|976|200643|171549|171552;2|976|200643|171549|171552|838;2|201174|84998|84999|84107|102106;2|1239|186801|186802|186803|841;2|1239|91061|186826|1300|1301;2|1239|909932|1843489|31977|39948,Complete,"Shaimaa Elsafoury"
"Signature 2","Experiment 1","Study 21","Table 1","4 October 2018","Marianthi Thomatos",WikiWorks743,"Relative abundance comparision between Cameron County Hispanic Cohort (CCHC) and Human microbiome project (HMP) subject stool samples",decreased,"k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes",2|976;2|976|200643|171549|815;2|976|200643|171549|171550;2|976|200643|171549|815|816;2|976|200643|171549|2005525|375288;2|976|200643|171549|171550|239759,Complete,"Shaimaa Elsafoury"
"Signature 1","Experiment 1","Study 142","Figure 6, Sup Fig1","11 September 2019","Utsav Patel",WikiWorks743,"Relative abundance of oral microbiome in HNSCC patients and controls",increased,"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella",2|1239|91061|186826|1300|1301;2|1239|91061|186826|33958|1578;2|1239|186801|186802|186804|1257;2|976|200643|171549|2005525|195950;2|1239|91061|1385|90964|1279;2|1239|1737404|1737405|1570339|543311;2|1239|909932|1843489|31977|29465,Complete,"Rimsha Azhar"
"Signature 2","Experiment 1","Study 142","Figure 6, Sup Fig1","11 September 2019","Utsav Patel",WikiWorks743,"Relative abundance of oral microbiome in HNSCC patients and controls",decreased,"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia",2|1224|1236|135625|712|416916;2|1224|28216|80840|119060|47670;2|1224|1236|135625|712|724;2|1224|28216|206351|481|482;2|32066|203490|203491|1129771|32067,Complete,"Rimsha Azhar"
"Signature 1","Experiment 2","Study 142","Figure 6, Text","11 September 2019","Utsav Patel",WikiWorks743,"Relative abundance of oral microbiome in HNSCC HPV + and HPV -",increased,"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Weeksella",2|1239|91061|186826|33958|1578;2|976|117743|200644|2762318|1013,Complete,"Rimsha Azhar"
"Signature 2","Experiment 2","Study 142","Figure 6, Text","11 September 2019","Utsav Patel",WikiWorks743,"Relative abundance of oral microbiome in HNSCC HPV + and HPV -",decreased,"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia",2|1224|28216|206351|481|538;2|1224|28216|206351|481|482;2|32066|203490|203491|1129771|32067,Complete,"Rimsha Azhar"
"Signature 1","Experiment 3","Study 142","Figure 6, Text","11 September 2019","Utsav Patel",WikiWorks743,"Relative abundance of oral microbiome in chemo-radiation therapy/radiation and surgery",increased,"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus",2|1239|91061|186826|33958;2|1239|91061|186826|33958|1578,Complete,"Rimsha Azhar"
"Signature 1","Experiment 4","Study 142","Figure 6, Text","11 September 2019","Utsav Patel",WikiWorks743,"Relative abundance of oral microbiome in chemo-radiation therapy/radiation and surgery",decreased,"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia",2|1224|1236|135625|712|724;2|1224|1236|135625|712|416916;2|32066|203490|203491|1129771|32067,Complete,"Rimsha Azhar"
"Signature 1","Experiment 1","Study 699","Table S4","20 October 2022",Claregrieve1,Claregrieve1,"Differential microbial abundance between controls and UC subjects",decreased,"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum hallii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium coprostanoligenes,k__Bacteria|p__Firmicutes,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|s__[Clostridium] leptum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|s__[Eubacterium] siraeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__[Ruminococcus] gnavus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospira|s__uncultured Oscillospira sp.",2|201174|84998|1643822|1643826|447020;2|74201|203494|48461|1647988|239934;2|1239|186801|186802|186803|2569097|39488;2|1239|186801|186802|216572|244127;2|976|200643|171549|2005519|397864;2|1239|186801|186802|186804|1870884;2|201174|84998|84999;2|1239|186801|186802|186806|1730|290054;2|1239;2157|28890|183925|2158|2159|2172;2|1239|186801|186802|216572;2|1239|186801|186802|216572|1263;2|201174|84998|1643822|1643826|84108;2|976|200643|171549|2005525|195950;2|74201|203494|48461;2|1239|186801|186802|216572|1535;2|1239|186801|186802|216572|39492;2|1239|186801|186802|186803|2316020|33038;2|1239|186801|186802|216572|119852|512316,Complete,
"Signature 2","Experiment 1","Study 699","Table S4","20 October 2022",Claregrieve1,Claregrieve1,"Differential microbial abundance between controls and UC subjects",increased,"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas asaccharolytica,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium perfringens,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__[Ruminococcus] gnavus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|s__Escherichia/Shigella sp.,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus",2|976|200643|171549|171551|836;2|976|200643|171549|171551|836|28123;2|1239|91061|186826|1300|1301;2|1239|186801|186802|31979|1485|1502;2|1239|186801|186802|186803|2316020|33038;2|1239|186801|186802|186803|1506553;2|1239|186801|186802|186804|1870884;2|1239|186801|186802|186804|1257;2|1239|1737404|1737405;2|1239|1737404|1737405|1570339|165779;2|1239|909932|1843489|31977|29465;2|32066;2|32066|203490|203491;2|32066|203490|203491|203492;2|32066|203490|203491|203492|848;2|1224;2|1224|1236;2|1224|28216|206351|481;2|1224|28216|206351|481|538;2|1224|1236|91347;2|1224|1236|91347|543;2|1224|1236|91347|543|1940338;2|1224|1236|135625;2|1224|1236|135625|712;2|1224|1236|135625|712|724,Complete,
