"Study page name","Study design",PMID,DOI,URL,"Authors list",Title,Journal,Year,Abstract,State,Reviewer
"Study 1",case-control,28038683,10.1186/s40168-016-0218-6,,"Peters BA, Dominianni C, Shapiro JA, Church TR, Wu J, Miller G, Yuen E, Freiman H, Lustbader I, Salik J, Friedlander C, Hayes RB , Ahn J","The gut microbiota in conventional and serrated precursors of colorectal cancer",Microbiome,2016,"BACKGROUND: Colorectal cancer is a heterogeneous disease arising from at least two precursors-the conventional adenoma (CA) and the serrated polyp. We and others have previously shown a relationship between the human gut microbiota and colorectal cancer; however, its relationship to the different early precursors of colorectal cancer is understudied. We tested, for the first time, the relationship of the gut microbiota to specific colorectal polyp types. RESULTS: Gut microbiota were assessed in 540 colonoscopy-screened adults by 16S rRNA gene sequencing of stool samples. Participants were categorized as CA cases (n = 144), serrated polyp cases (n = 73), or polyp-free controls (n = 323). CA cases were further classified as proximal (n = 87) or distal (n = 55) and as non-advanced (n = 121) or advanced (n = 22). Serrated polyp cases were further classified as hyperplastic polyp (HP; n = 40) or sessile serrated adenoma (SSA; n = 33). We compared gut microbiota diversity, overall composition, and normalized taxon abundance among these groups. CA cases had lower species richness in stool than controls (p = 0.03); in particular, this association was strongest for advanced CA cases (p = 0.004). In relation to overall microbiota composition, only distal or advanced CA cases differed significantly from controls (p = 0.02 and p = 0.002). In taxon-based analysis, stool of CA cases was depleted in a network of Clostridia operational taxonomic units from families Ruminococcaceae, Clostridiaceae, and Lachnospiraceae, and enriched in the classes Bacilli and Gammaproteobacteria, order Enterobacteriales, and genera Actinomyces and Streptococcus (all q < 0.10). SSA and HP cases did not differ in diversity or composition from controls, though sample size for these groups was small. Few taxa were differentially abundant between HP cases or SSA cases and controls; among them, class Erysipelotrichi was depleted in SSA cases. CONCLUSIONS: Our results indicate that gut microbes may play a role in the early stages of colorectal carcinogenesis through the development of CAs. Findings may have implications for developing colorectal cancer prevention therapies targeting early microbial drivers of colorectal carcinogenesis.",Complete,"Shaimaa Elsafoury"
"Study 2",case-control,28173873,10.1186/s13073-017-0405-5,,"Wang H, Funchain P, Bebek G, Altemus J, Zhang H, Niazi F, Peterson C, Lee WT, Burkey BB , Eng C","Microbiomic differences in tumor and paired-normal tissue in head and neck squamous cell carcinomas","Genome medicine",2017,"BACKGROUND: While the role of the gut microbiome in inflammation and colorectal cancers has received much recent attention, there are few data to support an association between the oral microbiome and head and neck squamous cell carcinomas. Prior investigations have been limited to comparisons of microbiota obtained from surface swabs of the oral cavity. This study aims to identify microbiomic differences in paired tumor and non-tumor tissue samples in a large group of 121 patients with head and neck squamous cell carcinomas and correlate these differences with clinical-pathologic features. METHODS: Total DNA was extracted from paired normal and tumor resection specimens from 169 patients; 242 samples from 121 patients were included in the final analysis. Microbiomic content of each sample was determined using 16S rDNA amplicon sequencing. Bioinformatic analysis was performed using QIIME algorithms. F-testing on cluster strength, Wilcoxon signed-rank testing on differential relative abundances of paired tumor-normal samples, and Wilcoxon rank-sum testing on the association of T-stage with relative abundances were conducted in R. RESULTS: We observed no significant difference in measures of alpha diversity between tumor and normal tissue (Shannon index: p = 0.13, phylogenetic diversity: p = 0.42). Similarly, although we observed statistically significantly differences in both weighted (p = 0.01) and unweighted (p = 0.04) Unifrac distances between tissue types, the tumor/normal grouping explained only a small proportion of the overall variation in the samples (weighted R2 = 0.01, unweighted R2 < 0.01). Notably, however, when comparing the relative abundances of individual taxa between matched pairs of tumor and normal tissue, we observed that Actinomyces and its parent taxa up to the phylum level were significantly depleted in tumor relative to normal tissue (q < 0.01), while Parvimonas was increased in tumor relative to normal tissue (q = 0.01). These differences were more pronounced among patients with more extensive disease as measured by higher T-stage. CONCLUSIONS: Matched pairs analysis of individual tumor-normal pairs revealed significant differences in relative abundance of specific taxa, namely in the genus Actinomyces. These differences were more pronounced among patients with higher T-stage. Our observations suggest further experiments to interrogate potential novel mechanisms relevant to carcinogenesis associated with alterations of the oral microbiome that may have consequences for the human host.",Complete,"Shaimaa Elsafoury"
"Study 3",case-control,27015276,10.1371/journal.pone.0152126,,"Sinha R, Ahn J, Sampson JN, Shi J, Yu G, Xiong X, Hayes RB , Goedert JJ","Fecal Microbiota, Fecal Metabolome, and Colorectal Cancer Interrelations","PloS one",2016,"BACKGROUND AND AIMS: Investigation of microbe-metabolite relationships in the gut is needed to understand and potentially reduce colorectal cancer (CRC) risk. METHODS: Microbiota and metabolomics profiling were performed on lyophilized feces from 42 CRC cases and 89 matched controls. Multivariable logistic regression was used to identify statistically independent associations with CRC. First principal coordinate-component pair (PCo1-PC1) and false discovery rate (0.05)-corrected P-values were calculated for 116,000 Pearson correlations between 530 metabolites and 220 microbes in a sex*case/control meta-analysis. RESULTS: Overall microbe-metabolite PCo1-PC1 was more strongly correlated in cases than in controls (Rho 0.606 vs 0.201, P = 0.01). CRC was independently associated with lower levels of Clostridia, Lachnospiraceae, p-aminobenzoate and conjugated linoleate, and with higher levels of Fusobacterium, Porphyromonas, p-hydroxy-benzaldehyde, and palmitoyl-sphingomyelin. Through postulated effects on cell shedding (palmitoyl-sphingomyelin), inflammation (conjugated linoleate), and innate immunity (p-aminobenzoate), metabolites mediated the CRC association with Fusobacterium and Porphyromonas by 29% and 34%, respectively. Overall, palmitoyl-sphingomyelin correlated directly with abundances of Enterobacteriaceae (Gammaproteobacteria), three Actinobacteria and five Firmicutes. Only Parabacteroides correlated inversely with palmitoyl-sphingomyelin. Other lipids correlated inversely with Alcaligenaceae (Betaproteobacteria). Six Bonferroni-significant correlations were found, including low indolepropionate and threnoylvaline with Actinobacteria and high erythronate and an uncharacterized metabolite with Enterobacteriaceae. CONCLUSIONS: Feces from CRC cases had very strong microbe-metabolite correlations that were predominated by Enterobacteriaceae and Actinobacteria. Metabolites mediated a direct CRC association with Fusobacterium and Porphyromonas, but not an inverse association with Clostridia and Lachnospiraceae. This study identifies complex microbe-metabolite networks that may provide insights on neoplasia and targets for intervention.",Complete,"Shaimaa Elsafoury"
"Study 4",case-control,27625705,10.1186/s13099-016-0124-2,,"Aly AM, Adel A, El-Gendy AO, Essam TM , Aziz RK","Gut microbiome alterations in patients with stage 4 hepatitis C","Gut pathogens",2016,"BACKGROUND: Hepatitis C virus (HCV) causes debilitating liver diseases, which may progress to cirrhosis and cancer, and claims 500,000 annual lives worldwide. While HCV epidemiology, pathophysiology, and therapy are being deeply studied, rare attention is given to reciprocal interactions between HCV infection , HCV-induced chronic liver diseases, and the human gut microbiome. As Egypt has the world's highest prevalence of HCV infections, we launched this study to monitor differences in the gut microbial community composition of Egyptian HCV patients that may affect, or result from, the patients' liver state. RESULTS: To this end, we analyzed stool samples from six stage 4-HCV patients and eight healthy individuals by high-throughput 16S rRNA gene sequencing using Illumina MiSeq. Overall, the alpha-diversity of the healthy persons' gut microbiomes was higher than those of the HCV patients. Whereas members of phylum Bacteroidetes were more abundant in HCV patients, healthy individuals had higher abundance of Firmicutes, Proteobacteria, and Actinobacteria. Genus-level analysis showed differential abundance of Prevotella and Faecalibacterium (higher in HCV patients) vs. Ruminococcus and Clostridium (healthy group), indicating that the higher abundance of Bacteroidetes in HCV patients is most likely due to Prevotella overabundance. The probiotic genus, Bifidobacterium, was only observed in the microbiotas of healthy individuals. CONCLUSIONS: To the best of our knowledge, this study provides a first overview of major phyla and genera differentiating stage 4-HCV patients from healthy individuals and suggests possible microbiome remodeling in chronic hepatitis C, possibly shaped by bacterial translocation as well as the liver's impaired role in digestion and protein synthesis. Future studies will investigate the microbiome composition and functional capabilities in more patients while tracing some potential biomarker taxa (e.g., Prevotella, Faecalibacterium vs. Bifidobacterium).",Complete,"Shaimaa Elsafoury"
"Study 5",case-control,23071781,10.1371/journal.pone.0047305,,"Pragman AA, Kim HB, Reilly CS, Wendt C , Isaacson RE","The lung microbiome in moderate and severe chronic obstructive pulmonary disease","PloS one",2012,"Chronic obstructive pulmonary disease (COPD) is an inflammatory disorder characterized by incompletely reversible airflow obstruction. Bacterial infection of the lower respiratory tract contributes to approximately 50% of COPD exacerbations. Even during periods of stable lung function, the lung harbors a community of bacteria, termed the microbiome. The role of the lung microbiome in the pathogenesis of COPD remains unknown. The COPD lung microbiome, like the healthy lung microbiome, appears to reflect microaspiration of oral microflora. Here we describe the COPD lung microbiome of 22 patients with Moderate or Severe COPD compared to 10 healthy control patients. The composition of the lung microbiomes was determined using 454 pyrosequencing of 16S rDNA found in bronchoalveolar lavage fluid. Sequences were analyzed using mothur, Ribosomal Database Project, Fast UniFrac, and Metastats. Our results showed a significant increase in microbial diversity with the development of COPD. The main phyla in all samples were Actinobacteria, Firmicutes, and Proteobacteria. Principal coordinate analyses demonstrated separation of control and COPD samples, but samples did not cluster based on disease severity. However, samples did cluster based on the use of inhaled corticosteroids and inhaled bronchodilators. Metastats analyses demonstrated an increased abundance of several oral bacteria in COPD samples.",Complete,"Shaimaa Elsafoury"
"Study 6","prospective cohort",28467925,10.1016/j.cmet.2017.04.001,,"Loomba R, Seguritan V, Li W, Long T, Klitgord N, Bhatt A, Dulai PS, Caussy C, Bettencourt R, Highlander SK, Jones MB, Sirlin CB, Schnabl B, Brinkac L, Schork N, Chen CH, Brenner DA, Biggs W, Yooseph S, Venter JC , Nelson KE","Gut Microbiome-Based Metagenomic Signature for Non-invasive Detection of Advanced Fibrosis in Human Nonalcoholic Fatty Liver Disease","Cell metabolism",2017,"The presence of advanced fibrosis in nonalcoholic fatty liver disease (NAFLD) is the most important predictor of liver mortality. There are limited data on the diagnostic accuracy of gut microbiota-derived signature for predicting the presence of advanced fibrosis. In this prospective study, we characterized the gut microbiome compositions using whole-genome shotgun sequencing of DNA extracted from stool samples. This study included 86 uniquely well-characterized patients with biopsy-proven NAFLD, of which 72 had mild/moderate (stage 0-2 fibrosis) NAFLD, and 14 had advanced fibrosis (stage 3 or 4 fibrosis). We identified a set of 40 features (p < 0.006), which included 37 bacterial species that were used to construct a Random Forest classifier model to distinguish mild/moderate NAFLD from advanced fibrosis. The model had a robust diagnostic accuracy (AUC 0.936) for detecting advanced fibrosis. This study provides preliminary evidence for a fecal-microbiome-derived metagenomic signature to detect advanced fibrosis in NAFLD.",Complete,"Shaimaa Elsafoury"
"Study 7",case-control,20603222,10.1016/j.anaerobe.2010.06.008,,"Finegold SM, Dowd SE, Gontcharova V, Liu C, Henley KE, Wolcott RD, Youn E, Summanen PH, Granpeesheh D, Dixon D, Liu M, Molitoris DR , Green JA","Pyrosequencing study of fecal microflora of autistic and control children",Anaerobe,2010,"There is evidence of genetic predisposition to autism, but the percent of autistic subjects with this background is unknown. It is clear that other factors, such as environmental influences, may play a role in this disease. In the present study, we have examined the fecal microbial flora of 33 subjects with various severities of autism with gastrointestinal symptoms, 7 siblings not showing autistic symptoms (sibling controls) and eight non-sibling control subjects, using the bacterial tag encoded FLX amplicon pyrosequencing (bTEFAP) procedure. The results provide us with information on the microflora of stools of young children and a compelling picture of unique fecal microflora of children with autism with gastrointestinal symptomatology. Differences based upon maximum observed and maximum predicted operational taxonomic units were statistically significant when comparing autistic and control subjects with p-values ranging from <0.001 to 0.009 using both parametric and non-parametric estimators. At the phylum level, Bacteroidetes and Firmicutes showed the most difference between groups of varying severities of autism. Bacteroidetes was found at high levels in the severely autistic group, while Firmicutes were more predominant in the control group. Smaller, but significant, differences also occurred in the Actinobacterium and Proteobacterium phyla. Desulfovibrio species and Bacteroides vulgatus are present in significantly higher numbers in stools of severely autistic children than in controls. If the unique microbial flora is found to be a causative or consequent factor in this type of autism, it may have implications with regard to a specific diagnostic test, its epidemiology, and for treatment and prevention.",Complete,"Shaimaa Elsafoury"
"Study 8",case-control,20140211,10.1371/journal.pone.0009085,,"Larsen N, Vogensen FK, van den Berg FW, Nielsen DS, Andreasen AS, Pedersen BK, Al-Soud WA, Sørensen SJ, Hansen LH , Jakobsen M","Gut microbiota in human adults with type 2 diabetes differs from non-diabetic adults","PloS one",2010,"BACKGROUND: Recent evidence suggests that there is a link between metabolic diseases and bacterial populations in the gut. The aim of this study was to assess the differences between the composition of the intestinal microbiota in humans with type 2 diabetes and non-diabetic persons as control. METHODS AND FINDINGS: The study included 36 male adults with a broad range of age and body-mass indices (BMIs), among which 18 subjects were diagnosed with diabetes type 2. The fecal bacterial composition was investigated by real-time quantitative PCR (qPCR) and in a subgroup of subjects (N = 20) by tag-encoded amplicon pyrosequencing of the V4 region of the 16S rRNA gene. The proportions of phylum Firmicutes and class Clostridia were significantly reduced in the diabetic group compared to the control group (P = 0.03). Furthermore, the ratios of Bacteroidetes to Firmicutes as well as the ratios of Bacteroides-Prevotella group to C. coccoides-E. rectale group correlated positively and significantly with plasma glucose concentration (P = 0.04) but not with BMIs. Similarly, class Betaproteobacteria was highly enriched in diabetic compared to non-diabetic persons (P = 0.02) and positively correlated with plasma glucose (P = 0.04). CONCLUSIONS: The results of this study indicate that type 2 diabetes in humans is associated with compositional changes in intestinal microbiota. The level of glucose tolerance should be considered when linking microbiota with metabolic diseases such as obesity and developing strategies to control metabolic diseases by modifying the gut microbiota.",Complete,"Shaimaa Elsafoury"
"Study 9",case-control,29190829,10.1371/journal.pone.0188873,,"Thompson KJ, Ingle JN, Tang X, Chia N, Jeraldo PR, Walther-Antonio MR, Kandimalla KK, Johnson S, Yao JZ, Harrington SC, Suman VJ, Wang L, Weinshilboum RL, Boughey JC, Kocher JP, Nelson H, Goetz MP , Kalari KR","A comprehensive analysis of breast cancer microbiota and host gene expression","PloS one",2017,"The inflammatory tumoral-immune response alters the physiology of the tumor microenvironment, which may attenuate genomic instability. In addition to inducing inflammatory immune responses, several pathogenic bacteria produce genotoxins. However the extent of microbial contribution to the tumor microenvironment biology remains unknown. We utilized The Cancer Genome Atlas, (TCGA) breast cancer data to perform a novel experiment utilizing unmapped and mapped RNA sequencing read evidence to minimize laboratory costs and effort. Our objective was to characterize the microbiota and associate the microbiota with the tumor expression profiles, for 668 breast tumor tissues and 72 non-cancerous adjacent tissues. The prominent presence of Proteobacteria was increased in the tumor tissues and conversely Actinobacteria abundance increase in non-cancerous adjacent tissues. Further, geneset enrichment suggests Listeria spp to be associated with the expression profiles of genes involved with epithelial to mesenchymal transitions. Moreover, evidence suggests H. influenza may reside in the surrounding stromal material and was significantly associated with the proliferative pathways: G2M checkpoint, E2F transcription factors, and mitotic spindle assembly. In summary, further unraveling this complicated interplay should enable us to better diagnose and treat breast cancer patients.",Complete,"Shaimaa Elsafoury"
"Study 10",case-control,29234019,10.1038/s41598-017-17351-9,,"Curty G, Costa RL, Siqueira JD, Meyrelles AI, Machado ES, Soares EA , Soares MA","Analysis of the cervical microbiome and potential biomarkers from postpartum HIV-positive women displaying cervical intraepithelial lesions","Scientific reports",2017,"The cervical microbiota composition and diversity of HIV-positive women in the postpartum period is unknown. Using a high-throughput bacterial 16S rRNA gene sequencing, we identified four community state types (CSTs). CST III (Lactobacillusdominant) and CST IV (IV-A, IV-B.1, IV-B.2; high-diversity) were found in 41% and 59% of samples, respectively. We did not find association of any CST to postpartum period (six or twelve months), HPV infection or cytology (normal or lesion). However, five bacterial genera were associated with cervical lesions (Gardnerella, Aerococcus, Schlegelella, Moryella and Bifidobacterium), with significant odds ratio (OR) of 40 (2.28-706) for the presence of Moryella and 3.5 (1.36-8.9) for Schlegelella. Longitudinal analysis of samples at postpartum that regressed (lesion to normal), progressed (normal to lesion) and maintained the cytology (lesion or normal) evidenced Gardnerella with a significantly higher abundance in regressing lesions. In the current study, we report the first data on the cervical microbiota of HIV-positive women in the postpartum period. Consistent with previous studies of HIV-negative cohorts, HIV-positive women present a stable cervical microbiota of high-diversity in the postpartum period. Our results highlight that specific microbiota species may serve as sensors for changes in the cervical microenvironment associated with cervical lesions.",Complete,"Shaimaa Elsafoury"
